,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
128,Atlético-MG,Atacante,Hulk,21.06,-0.13,6.5,10.33,3,4,1.0,,,,,1.0,,1.0,6.0,,,,,,,,1.0,,1.0,,39148,282,5,0.0
129,Atlético-MG,Lateral,Guga,8.76,-0.42,4.2,6.05,2,4,,,,,,5.0,,,16.0,,,,,3.0,,,,,1.0,,101319,282,2,0.0
130,Internacional,Lateral,Renê,8.03,1.93,11.2,7.63,3,4,,,,,,1.0,,,12.0,,1.0,,,6.0,,,,,1.0,,78445,285,2,0.0
131,Athlético-PR,Zagueiro,Matheus Felipe,3.36,1.35,6.7,3.67,3,4,,,,2.0,,1.0,,,4.0,,,,,4.0,,,,,2.0,,102310,293,3,0.0
132,Palmeiras,Atacante,Rony,9.47,-0.66,2.9,5.3,4,5,,,,1.0,1.0,2.0,,1.0,3.0,,,,,1.0,,,,,3.0,,91607,275,5,0.0
133,Fortaleza,Goleiro,Max Walef,2.98,0.03,1.0,1.5,4,5,,,,,,,,,,,,,2.0,,,,,1.0,,,84338,356,1,0.0
134,Flamengo,Meia,Arrascaeta,19.12,-0.36,13.6,9.78,4,5,,,,1.0,2.0,3.0,,1.0,10.0,,,,,3.0,,,,,,,87863,262,4,13.6
135,Atlético-GO,Zagueiro,Wanderson,2.6,-0.25,-0.2,1.12,5,5,,,,,,1.0,,,1.0,,,,,,,,,,2.0,,86143,373,3,0.0
136,Athlético-PR,Zagueiro,Pedro Henrique,7.22,0.26,5.0,4.5,5,5,,,,,,1.0,,,13.0,,1.0,,,2.0,,,1.0,,2.0,,87225,293,3,0.0
137,Cuiabá,Meia,Everton,10.5,-0.14,1.3,3.78,5,5,,,,,2.0,3.0,,,8.0,,,,,,,,1.0,,,,50301,1371,4,0.0
138,Goiás,Lateral,Danilo Barcelos,3.6,0.83,3.0,1.02,5,5,,,,,,,,,13.0,,1.0,,,1.0,,,1.0,,3.0,,84382,290,2,0.0
139,Corinthians,Atacante,Róger Guedes,16.06,-0.82,0.3,6.72,5,5,,,,,,1.0,,,2.0,,,,,,,,,,,,89898,264,5,0.0
140,Atlético-MG,Atacante,Hulk,20.59,-0.47,4.4,8.85,4,5,,,1.0,1.0,1.0,3.0,,1.0,10.0,,,,,,,,1.0,,,,39148,282,5,0.0
141,Goiás,Técnico,Jair Ventura,4.33,0.91,4.99,3.39,4,5,,,,,,,,,,,,,,,,,,,,,92180,290,6,0.0
142,Atlético-MG,Meia,Zaracho,14.66,0.13,3.7,6.5,4,5,,,,,,1.0,,,4.0,,,,,3.0,,,,,,,100079,282,4,0.0
143,Flamengo,Lateral,Isla,5.08,-0.19,0.7,2.07,3,5,,,,,,,,,5.0,,,,,1.0,,,,,,,69345,262,2,0.0
144,Palmeiras,Zagueiro,Gustavo Gómez,15.02,0.66,4.8,6.38,5,6,,,,,,1.0,,,6.0,,1.0,,,1.0,,,1.0,,1.0,,71684,275,3,0.0
145,Goiás,Meia,Apodi,7.36,0.92,5.8,4.37,6,6,,,,1.0,1.0,3.0,,,2.0,1.0,,,,2.0,,,,,3.0,,51042,290,4,0.0
146,Botafogo,Meia,Luís Oyama,7.07,-0.22,1.4,3.63,6,6,,,,,,1.0,,,6.0,,,,,2.0,,,,,3.0,,97908,263,4,0.0
147,Fluminense,Técnico,Fernando Diniz,7.98,0.34,4.2,3.32,2,6,,,,,,,,,,,,,,,,,,,,,72391,266,6,0.0
148,Palmeiras,Goleiro,Weverton,11.36,1.51,8.0,4.2,5,6,,,,,,,,,,,1.0,,3.0,,,,,,,,71631,275,1,0.0
149,Fluminense,Zagueiro,Nino,12.66,-0.22,1.5,4.37,6,6,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,91708,266,3,0.0
150,Atlético-MG,Atacante,Keno,7.32,0.3,2.2,2.13,3,6,,,,,1.0,2.0,,1.0,7.0,,,,,1.0,,,,,,,86485,282,5,0.0
151,Fluminense,Atacante,Luiz Henrique,7.16,1.5,7.5,3.92,6,6,,,,,1.0,3.0,,,8.0,,,,,5.0,,,,,,,109282,266,5,0.0
152,Flamengo,Atacante,Gabriel,9.77,-0.68,0.6,2.46,5,6,,,,,,,,,3.0,,,,,1.0,,,,,2.0,,83257,262,5,0.6
153,Santos,Meia,Vinícius Zanocelo,8.96,0.27,2.9,5.03,6,6,,,,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,,2.0,,104521,277,4,0.0
154,Atlético-MG,Lateral,Guga,9.91,1.84,9.3,5.5,4,6,,,,,,1.0,,,7.0,,1.0,,,4.0,,,,,1.0,,101319,282,2,0.0
155,Fluminense,Lateral,Calegari,9.74,0.0,0.0,4.22,4,6,,,,,,,,,,,,,,,,,,,,,104276,266,2,0.0
156,América-MG,Técnico,Vagner Mancini,6.25,0.17,2.35,3.75,6,7,,,,,,,,,,,,,,,,,,,,,39850,327,6,0.0
157,Atlético-GO,Meia,Marlon Freitas,6.29,0.44,1.5,3.45,7,7,,,,,,,,,6.0,,,,,2.0,,,,,1.0,,93790,373,4,0.0
158,Santos,Atacante,Léo Baptistão ,10.05,0.71,5.6,6.43,6,7,,,,1.0,2.0,3.0,,,8.0,,,,,2.0,,,,,1.0,,81161,277,5,0.0
159,Palmeiras,Meia,Zé Rafael,15.15,2.02,12.0,8.3,6,7,1.0,,,,1.0,3.0,,,4.0,,,,,2.0,,,,,1.0,,82455,275,4,0.0
160,Flamengo,Goleiro,Hugo Souza,4.42,0.98,5.0,1.7,6,7,,,,,,,,,,,1.0,,,,,,,,,,101574,262,1,0.0
