,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
240,Flamengo,Lateral,Isla,9.56,-0.52,-3.2,3.94,10,21,,,,,,,,1.0,2.0,,,,,1.0,,,1.0,,3.0,,69345,262,2,0.0
241,Palmeiras,Meia,Raphael Veiga,14.7,1.55,10.5,5.18,19,21,1.0,,,1.0,,4.0,,,7.0,,,,,,,,,,,,94509,275,4,0.0
242,Atlético-MG,Zagueiro,Nathan Silva,8.69,0.09,6.5,3.92,17,21,,,,,,1.0,,,5.0,,1.0,,,2.0,,,,,1.0,,95794,282,3,0.0
243,Palmeiras,Atacante,Dudu,10.2,-1.07,-0.3,1.95,8,21,,,,1.0,,,,1.0,10.0,,,,,,,,,,,,68920,275,5,0.0
244,Atlético-MG,Atacante,Hulk,22.07,1.42,19.4,7.28,19,21,1.0,,,1.0,,,,,5.0,,,,,1.0,,,,,,,39148,282,5,19.4
245,Atlético-MG,Meia,Zaracho,10.06,0.3,10.6,4.86,16,21,,,1.0,2.0,1.0,2.0,,,6.0,,,,,5.0,,,,,2.0,,100079,282,4,0.0
246,Corinthians,Atacante,Róger Guedes,15.17,-0.19,4.5,8.0,3,21,,,,2.0,,2.0,,,4.0,,,,,2.0,,,,,1.0,,89898,264,5,0.0
247,Corinthians,Zagueiro,João Victor,8.47,0.67,4.7,3.69,20,21,,,,,,,,,3.0,,,,,5.0,,,,,,,104250,264,3,0.0
248,Atlético-MG,Goleiro,Everson,12.35,-0.39,6.0,4.36,20,21,,,,,,,,,,,1.0,,1.0,,,,,,,,72294,282,1,0.0
249,Athlético-PR,Meia,Terans,11.46,0.64,4.7,5.5,18,21,,,,2.0,3.0,2.0,,,1.0,,,,,,,,,,2.0,,102878,293,4,0.0
250,Atlético-MG,Técnico,Cuca,13.07,0.39,8.21,4.84,20,21,,,,,,,,,,,,,,,,,,,,,42411,282,6,0.0
251,Atlético-MG,Lateral,Guilherme Arana,11.52,2.21,18.0,5.46,13,21,,2.0,,,2.0,1.0,,,6.0,,1.0,,,2.0,,,,,1.0,,87228,282,2,0.0
252,Internacional,Meia,Edenílson,18.92,-0.78,4.7,5.94,20,22,,1.0,,,,3.0,,,13.0,,,,,,,,,,1.0,,63289,285,4,0.0
253,Internacional,Atacante,Yuri Alberto,6.96,-0.3,7.9,4.46,20,22,1.0,,,1.0,,1.0,,,8.0,,,,,,,,,,2.0,,100652,285,5,0.0
254,Flamengo,Atacante,Bruno Henrique,18.53,0.98,9.6,7.59,14,22,,,,2.0,2.0,1.0,,,7.0,,,,,2.0,,,,,2.0,,90285,262,5,9.6
255,Flamengo,Lateral,Matheuzinho,6.84,-0.2,0.3,3.44,16,22,,,,,,1.0,,,7.0,,,,,3.0,,,1.0,,1.0,,101727,262,2,0.0
256,Ceará,Meia,Vina,11.24,-0.03,4.6,1.95,19,22,,,,2.0,2.0,3.0,,,9.0,,,,,,,,,,,,71162,354,4,0.0
257,Internacional,Zagueiro,Bruno Méndez,6.78,0.5,5.8,4.95,12,22,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,103700,285,3,0.0
258,Ceará,Atacante,Rick,9.7,-0.29,0.4,3.5,16,22,,,,,,3.0,,1.0,6.0,,,,,,,,,,,,104459,354,5,0.0
259,Internacional,Lateral,Heitor,7.34,0.06,5.1,4.41,15,22,,,,,,1.0,,,4.0,,1.0,,,3.0,,,1.0,,2.0,,104649,285,2,0.0
260,Fortaleza,Meia,Yago Pikachu,17.98,0.02,5.0,5.24,21,22,,,,,1.0,2.0,,,3.0,,,,,4.0,,,,,1.0,,80196,356,4,0.0
261,Flamengo,Técnico,Renato Gaúcho,14.18,-0.06,2.9,5.25,10,22,,,,,,,,,,,,,,,,,,,,,41929,262,6,0.0
262,Atlético-MG,Zagueiro,Junior Alonso,9.41,0.34,7.8,4.87,12,22,,,,,,,,,7.0,,1.0,,,4.0,,,,,1.0,,88312,282,3,0.0
263,Fortaleza,Goleiro,Felipe Alves,9.42,1.25,10.0,4.06,15,22,,,,,,,,,,,1.0,,5.0,,,,,,,,72372,356,1,0.0
264,Palmeiras,Zagueiro,Gustavo Gómez,10.24,-0.18,-0.2,2.99,14,23,,,,,1.0,,,,5.0,,,,,,,,,,1.0,,71684,275,3,0.0
265,Corinthians,Atacante,Róger Guedes,17.13,-0.91,6.5,9.26,5,23,,,1.0,2.0,,3.0,,,4.0,,,,,,,,,,,,89898,264,5,0.0
266,Flamengo,Meia,Arrascaeta,13.34,0.79,6.0,6.2,11,23,,1.0,,1.0,1.0,3.0,,,15.0,,,,,2.0,,,1.0,,2.0,,87863,262,4,0.0
267,Grêmio,Goleiro,Gabriel Chapecó,4.76,0.8,2.0,4.44,15,23,,,,,,,,,,,,,4.0,,,,,2.0,,,112616,284,1,0.0
268,Flamengo,Atacante,Gabriel,19.02,0.47,12.2,8.23,8,23,,1.0,,,2.0,1.0,,,5.0,,,,,,,,,,1.0,,83257,262,5,12.2
269,Flamengo,Atacante,Bruno Henrique,19.21,0.68,7.9,7.61,15,23,1.0,,,,1.0,,,,4.0,,,,,,,,,,1.0,,90285,262,5,0.0
270,Corinthians,Meia,Giuliano,9.94,-0.13,4.2,4.48,9,23,,1.0,,,,,,,8.0,,,,,,,,,,,,51548,264,4,0.0
271,Atlético-MG,Lateral,Guilherme Arana,9.72,-0.74,4.1,5.66,15,23,,,,,,4.0,,,14.0,,1.0,,,2.0,,,1.0,,3.0,,87228,282,2,0.0
272,Flamengo,Zagueiro,Rodrigo Caio,11.47,1.06,7.5,4.89,10,23,,,,,,3.0,,,5.0,,1.0,,,2.0,,,,,1.0,,73800,262,3,0.0
273,Fortaleza,Meia,Éderson,13.94,-0.18,5.8,6.18,22,23,,,,2.0,,6.0,,,6.0,,,,,4.0,,,1.0,,2.0,,103099,356,4,0.0
274,Palmeiras,Técnico,Abel Ferreira,11.8,0.12,2.76,4.09,22,23,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
275,Grêmio,Lateral,Vanderson,10.44,-1.62,4.1,5.24,16,23,,1.0,,,,2.0,,,19.0,,,,,2.0,,,,,4.0,,107750,284,2,0.0
